RI,Na,Mg,Al,Si,'K',Ca,Ba,Fe,Type
58,1,5,29,39,17,30,0,0,5
38,27,12,28,8,23,3,0,5,3
68,8,0,6,10,2,31,0,0,3
33,11,11,27,31,23,10,0,5,0
33,17,11,20,41,30,13,0,0,0
60,27,3,23,17,15,29,0,0,3
22,41,0,36,42,0,17,3,0,4
35,9,11,19,40,27,18,0,6,0
58,20,11,12,18,13,27,0,5,0
49,27,5,19,31,0,27,0,0,2
6,41,0,43,46,0,5,2,0,4
59,26,11,12,10,11,24,0,3,0
30,41,0,33,41,0,17,3,0,4
51,29,3,30,6,16,29,0,5,3
15,16,11,27,42,16,3,0,0,3
48,20,12,19,22,26,6,0,0,3
33,29,11,23,30,18,3,0,0,0
23,23,11,28,22,30,3,0,6,3
64,41,5,23,1,14,17,3,0,4
24,41,0,38,42,0,5,3,0,4
22,41,0,38,42,0,4,3,0,4
4,17,0,44,2,35,2,0,0,5
27,17,11,33,28,30,3,0,0,3
30,41,0,43,43,0,20,2,0,4
49,26,8,20,13,26,20,0,0,0
49,8,0,30,47,15,30,0,0,5
40,8,6,11,47,15,23,0,5,3
18,41,0,43,43,0,18,2,0,4
49,29,11,19,13,2,20,0,0,0
22,41,0,38,46,0,9,3,0,4
26,15,11,23,22,26,19,0,0,1
64,26,8,20,22,26,20,0,0,4
54,26,5,30,15,22,24,1,5,3
47,39,7,43,4,34,0,3,0,4
40,27,0,3,47,0,29,0,0,3
34,5,6,23,46,25,20,0,6,0
23,17,7,20,40,26,19,0,6,3
13,16,11,24,43,30,3,0,6,0
66,27,7,18,3,5,29,0,0,3
68,27,7,6,2,5,30,0,0,3
56,17,1,27,45,10,30,0,6,5
33,15,11,23,42,23,4,0,5,0
22,2,0,19,48,34,20,0,0,4
21,34,0,43,22,5,20,3,0,4
55,26,13,14,7,2,18,0,0,0
33,7,11,23,43,26,10,0,0,0
14,17,11,28,42,30,3,0,0,3
23,11,11,28,44,30,3,0,0,3
53,41,0,38,45,0,8,3,0,4
33,9,11,23,42,26,18,0,5,0
65,26,0,29,18,15,30,0,0,5
33,20,11,13,42,25,3,0,0,0
33,26,11,18,41,26,3,0,0,0
28,16,11,29,40,26,3,0,0,3
61,27,11,7,6,11,25,0,0,0
14,20,11,28,40,30,3,0,4,3
35,9,11,17,42,26,18,0,0,0
49,29,11,23,8,21,18,1,0,0
49,27,11,23,6,10,17,2,0,0
23,15,0,35,47,33,28,0,0,5
22,24,11,29,40,26,3,0,0,3
48,16,11,29,22,26,14,0,5,3
27,27,11,34,12,29,3,0,0,3
54,27,5,27,10,19,27,0,5,3
12,41,11,30,8,11,3,0,5,3
40,25,12,19,22,26,3,0,0,3
1,27,7,34,35,34,0,3,0,4
63,35,11,9,5,0,25,0,0,0
66,27,0,23,3,13,31,0,5,3
40,24,11,22,34,21,3,0,0,3
22,25,9,23,23,21,17,0,0,1
33,11,11,23,41,27,15,0,0,0
6,41,0,43,46,0,4,2,0,4
49,9,5,35,26,26,28,0,0,5
49,41,11,0,10,1,20,0,0,0
48,22,11,23,22,26,6,0,0,3
66,0,0,8,42,0,31,0,0,3
59,26,11,12,7,13,24,0,5,0
15,41,0,43,43,0,18,2,4,4
4,17,0,44,2,35,2,0,0,5
68,0,0,8,42,0,31,0,0,3
63,35,11,2,7,9,24,0,0,0
33,11,11,16,42,25,14,0,0,0
48,12,11,21,22,27,18,0,6,3
22,25,11,22,35,30,3,0,0,3
15,41,0,43,42,1,20,2,0,4
23,16,11,23,31,25,16,0,0,3
12,20,11,29,42,3,5,0,5,3
67,29,11,7,6,1,27,0,5,0
44,41,0,34,39,34,0,4,0,4
49,33,11,23,13,25,4,0,0,0
18,28,5,33,42,0,17,3,0,4
61,41,11,12,5,11,20,0,0,0
41,16,11,23,40,26,6,0,0,0
58,0,4,29,45,26,30,0,0,5
49,41,0,3,46,0,29,0,0,2
19,17,11,27,40,26,3,0,0,3
22,25,11,28,24,30,3,0,5,3
36,26,8,30,9,25,19,0,4,1
63,41,0,13,25,7,30,0,4,3
35,9,11,23,40,25,18,0,0,0
28,36,0,39,44,0,17,3,0,4
31,9,11,23,34,26,18,0,0,0
39,25,6,19,36,24,20,0,0,0
23,22,11,23,27,25,8,0,5,1
52,25,0,24,19,15,30,0,0,5
49,26,11,23,10,24,20,0,0,0
34,21,6,23,41,21,20,0,4,0
49,30,5,29,22,0,24,0,0,2
8,41,0,43,42,1,20,2,0,4
49,34,0,40,31,0,29,0,0,2
48,17,11,13,20,29,20,0,5,3
14,17,11,27,42,30,3,0,0,3
14,22,11,27,42,26,3,0,0,3
22,6,11,36,42,28,3,0,4,3
23,16,11,30,40,29,3,0,5,3
25,24,11,30,22,30,3,0,0,3
48,20,9,19,28,25,20,0,5,0
34,26,11,28,11,26,19,0,0,1
34,12,11,20,40,26,15,1,5,0
48,24,11,27,20,21,16,0,0,3
29,25,11,17,38,20,6,0,0,0
21,35,0,43,46,1,20,2,4,4
19,26,11,28,41,16,3,0,0,0
33,11,11,20,42,26,5,0,0,0
16,25,10,20,26,26,4,0,0,1
14,15,11,41,24,30,3,0,0,3
18,29,11,22,40,15,3,0,5,3
25,9,7,30,42,30,14,0,0,3
48,34,5,30,25,0,21,0,0,2
